FACTURA|FECHAFACTURA|TIPOPROVEEDOR|NUMEROPROVEEDOR|NOMBREPROVEEDOR|TIPOCOMPRA|NUMEROPARTE|DESCRIPCION|CANTIDAD|COSTOUNITARIO|COSTO
38020357       |02/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |KP71000150          |EMPAQUE LIQUIDO               |1|918.25|918.25
38020399       |02/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |24410LN3AG          |BATERIA LN3 AGM               |1|3851.50|3851.50
38020467       |02/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |24410H5EFB          |BATERIA 510 60                |3|2665.37|7996.11
38020467       |02/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |24410ZW40C          |BATERIA N17X                  |4|2058.10|8232.40
38020633       |02/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |24410LN3AG          |BATERIA LN3 AGM               |1|3851.50|3851.50
38020743       |02/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |KP71000150          |EMPAQUE LIQUIDO               |1|918.25|918.25
38020853       |02/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |24410ZW40C          |BATERIA N17X                  |5|2058.10|10290.50
38026723       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |MA1657014RDD        |LLANMAMARCH 165               |8|1476.98|11815.84
38026723       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |MA1856515RDD        |LLANMAVERSA 185               |2|1803.44|3606.88
38036340       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |265563AW0A          |PORTAFOCO DIREC               |1|221.35|221.35
38036340       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |938499BU0A          |GOMA TOPE                     |2|143.57|287.14
38037194       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |3N3E15E40A          |TAPETES USO RUD               |1|1294.73|1294.73
38037194       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |3N3E16RN0A          |TAPETES USO RUD               |1|833.33|833.33
38037194       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |G68E05RY0B          |FALDON LATERAL                |1|6517.33|6517.33
38037194       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |K60105RY0B          |BUMPER DELANTER               |1|6972.26|6972.26
38037194       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |NIMEXPORPL          |PORTAPLACAS                   |2|518.37|1036.74
38037194       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |T99J26RR0A          |LODERAS FRONTAL               |1|555.73|555.73
38037194       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |T99J26RR0D          |LODERAS TRASERA               |1|570.66|570.66
38037194       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |T99R16RR0D          |BARRAS PARA TEC               |1|6440.29|6440.29
38037383       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |1654602N01          |FILTRO DE AIRE                |9|528.96|4760.64
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |D10604KH0C          |KIT BALAT FREN/               |2|1634.01|3268.02
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |D10605RB0B          |KIT BALAT FREN/               |2|1322.53|2645.06
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |D10606LE0A          |KIT BALAT FRENO               |3|1105.24|3315.72
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |D40604KH3A          |BALATAS TRAS                  |2|1791.67|3583.34
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |KLD3180902DL        |ACEITE HYPOID                 |95|333.80|31711.00
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |LTMR15RB00          |BARRAS DE TECHO               |1|3050.00|3050.00
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |NIMEXPORPL          |PORTAPLACAS                   |1|518.37|518.37
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |NIMEXSATRT3         |SERV ADD RT 3 A               |2|9754.72|19509.44
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |NIMEX4KH00AF        |TUMBABURROS DEP               |1|5372.30|5372.30
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |NIMEX4KH02AF        |TUMBABURROS CUB               |3|7797.12|23391.36
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |T99C35EE0A          |Tapete de cajue               |2|1217.28|2434.56
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |00000215R0          |LIQ FREN DOT3 3               |24|57.61|1382.64
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |10120ZT70J          |ANTICONGELANTE                |36|69.41|2498.76
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |112106LB0D          |AISL MONT MOTOR               |1|2339.10|2339.10
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |112201HA0B          |AISL/MONT/MOT/I               |1|468.37|468.37
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |113609HL0B          |VARILLA TORQUE                |1|1094.07|1094.07
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |11720F4001          |BANDA VENTILADO               |2|137.25|274.50
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |117201KT0A          |BANDA VENT/ALTE               |5|633.90|3169.50
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |117204JM0A          |BANDA VENT/ALTE               |2|635.05|1270.10
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |117205RB0A          |BANDA VENT/ALTE               |1|520.34|520.34
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |118105H71A          |VbLVULA CONTROL               |1|392.93|392.93
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |11950VN20A          |BANDA DIRECCION               |1|221.18|221.18
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |135101KT0A          |JUNTA ACEITE CI               |1|111.77|111.77
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |15208ED50A          |FILTRO ACEITE                 |2|132.89|265.78
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |1520865F0E          |FILTRO ACEITE                 |60|165.66|9939.60
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |1654602N01          |FILTRO DE AIRE                |5|528.96|2644.80
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |165461HK0J          |FILTRO DE AIRE                |6|297.71|1786.26
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |165464BA1J          |FILTRO DE AIRE                |17|451.99|7683.83
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |165464JM1A          |FILTRO DE AIRE                |20|200.34|4006.80
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |165465RB1A          |FILTRO DE AIRE                |12|265.01|3180.12
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |21200EA000          |TERMOSTATO                    |1|463.55|463.55
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |22401ED71B          |BUJIA                         |16|521.01|8336.16
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |224011HC1B          |BUJIA                         |8|145.88|1167.04
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |224485RB0A          |BOBINA ENCENDID               |4|386.85|1547.40
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |23731ED03A          |SENSOR POS CIGU               |1|152.64|152.64
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |242686KE0A          |AISLADOR                      |1|205.35|205.35
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |243407F000          |CONECTOR                      |1|242.41|242.41
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |262728992C          |BULBO                         |5|23.13|115.65
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |265504KH0A          |LAMP/DIRECCIONA               |1|1222.35|1222.35
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |27277VX01A          |KIT FILTRO AIRE               |2|359.42|718.84
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |272771KK0C          |FILTRO AIRE ACO               |15|191.40|2871.00
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |272773DF0B          |FILTRO AIRE                   |6|140.16|840.96
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |272773JC1C          |FILTRO AIRE                   |1|360.31|360.31
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |272775JJ0B          |FILTRO AIRE ACO               |20|213.30|4266.00
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |272775NA0A          |FILTRO AIRE ACO               |10|285.71|2857.10
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |278915RB0C          |FILTRO CAJA DE                |20|260.94|5218.80
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |28890ZR81A          |ESCOBILLA LIMPI               |2|198.21|396.42
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |288901PA0A          |PLUMA LIMP PARA               |2|225.62|451.24
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |288904KH0A          |PLUMA LIMP PARA               |1|259.86|259.86
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |288904KH1A          |PLUMA LIMP PARA               |1|228.31|228.31
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |288905EF0B          |HOJA LIMP PARAB               |1|233.97|233.97
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |3N3E143010          |TAPETES DE HULE               |5|745.20|3726.00
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |3N3E15EF0A          |JUEGO DE TAPETE               |5|758.11|3790.55
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |3N3Q8A004GE3        |NCF 4G 3A SERV                |1|14307.87|14307.87
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |30100JR50A          |DISCO DE CLUTCH               |1|3729.74|3729.74
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |302104JM0A          |CUBIERTA CLUTCH               |1|2417.87|2417.87
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |3050269F1A          |BALERO LIBERA C               |1|633.94|633.94
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |313973JX0A          |EMPAQUE CARTER                |1|409.95|409.95
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |320018J29J          |ACEIT TM 75W85                |16|314.96|5039.36
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |3200500QAEKT        |INTERRUPTOR DE                |2|873.19|1746.38
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |381894GD0A          |SELL/ACEITE PI&               |1|114.29|114.29
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |403155EF0B          |CUBRTA DISC                   |4|186.90|747.60
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |540509VC0A          |EXTREMO PARACHO               |2|69.33|138.66
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |543204CL0B          |AISLADR/MONT/AM               |2|907.73|1815.46
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |546184KH0A          |VAR/CONECC-ESTA               |1|186.69|186.69
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |546684KH0A          |VAR/CONECC-ESTA               |1|186.57|186.57
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |622224JA2B          |SOPRT-DEF/DEL-L               |1|37.65|37.65
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |622259LE0A          |SOP PARACHOQ LA               |1|12.04|12.04
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |638405EF0A          |PROTEC SALPICAD               |1|507.25|507.25
38038010       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |806409AN0A          |MANIJA EXTER/PR               |1|733.59|733.59
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |D40603VA0B          |JGO-BALATAS FRE               |1|1095.66|1095.66
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |NIMEXSATRT2         |SERV ADD RT 2 A               |7|6661.13|46627.91
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |NIMEXSATRT3         |SERV ADD RT 3 A               |2|9754.72|19509.44
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |112106LB0D          |AISL MONT MOTOR               |2|2339.10|4678.20
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |112201KG0A          |AISL/MONT/MOT/I               |1|968.28|968.28
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |118106N202          |VALVULA CONTROL               |1|663.09|663.09
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |132644JM0C          |CUBRTA VAL BALA               |1|491.21|491.21
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |132703TS0A          |EMPAQ/TAP BALAN               |1|273.84|273.84
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |135101KT0A          |JUNTA ACEITE CI               |1|111.77|111.77
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |1520865F0E          |FILTRO ACEITE                 |60|165.66|9939.60
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |164397S01E          |ABRAZADERA                    |1|33.92|33.92
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |170405RB0A          |BOMBA COMPLETA-               |1|3851.25|3851.25
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |175715L30B          |ABRAZADERA INYE               |4|20.42|81.68
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |210824JM1B          |ACOPLAMIENTO VE               |1|4616.22|4616.22
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |276753VE0A          |AMPLIFICADOR                  |1|299.54|299.54
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |288905EF0B          |HOJA LIMP PARAB               |1|233.97|233.97
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |3N3Q8A004GE2        |NCF 4G 2A SERV                |4|9019.50|36078.00
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |3N3Q8A004GE3        |NCF 4G 3A SERV                |1|14307.87|14307.87
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |3N3W25RB0A          |TUERCA DE SEGUR               |2|631.44|1262.88
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |30100JR50A          |DISCO DE CLUTCH               |1|3729.74|3729.74
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |302104JM0A          |CUBIERTA CLUTCH               |1|2417.87|2417.87
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |432101HL0A          |BALERO INT/EJE                |1|2346.73|2346.73
38039328       |03/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2R                            |805015EF1A          |CNTRL REMOT DE                |1|589.76|589.76
38040650       |03/10/24|OTROS                         |69887     |RIGO MEXICO                   |3                             |INSUMOLMOT          |INSUMO LAVADO #2              |100|26.07|2607.00
38045930       |03/10/24|OTROS                         |6F        |NR FINANCE MEXICO SA DE CV    |6                             |NMXCNGEGR161        |GARANTIA EXTENDIDA            |1|6117.29|6117.29
38062100       |04/10/24|OTROS                         |6F        |NR FINANCE MEXICO SA DE CV    |6                             |NMXCNGEGR241        |GARANTIA EXTENDIDA            |1|3770.58|3770.58
38062640       |04/10/24|OTROS                         |F1        |GOLFO MOTRIZ                  |AJ                            |NMEXEXPRESSS        |NMEX/EXPRESSSER               |20|0.01|0.20
38092020       |05/10/24|OTROS                         |6F        |NR FINANCE MEXICO SA DE CV    |6                             |NMXCNGEGR141        |GARANTIA EXTENDIDA            |1|2487.46|2487.46
38125220       |08/10/24|OTROS                         |6F        |NR FINANCE MEXICO SA DE CV    |6                             |NMXCNGEGR141        |GARANTIA EXTENDIDA            |1|2487.46|2487.46
38125540       |08/10/24|OTROS                         |6F        |NR FINANCE MEXICO SA DE CV    |6                             |NMXCNGEGR151        |GARANTIA EXTENDIDA            |1|4048.24|4048.24
38125914       |08/10/24|OTROS                         |6F        |NR FINANCE MEXICO SA DE CV    |6                             |NMXCNGEGR141        |GARANTIA EXTENDIDA            |1|2487.46|2487.46
38146501       |09/10/24|OTROS                         |69887     |RIGO MEXICO                   |3                             |INSUMOLMOT          |INSUMO LAVADO #2              |100|26.07|2607.00
38151461       |09/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |117201KT0A          |BANDA VENT/ALTE               |5|633.90|3169.50
38151461       |09/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |15208ED50A          |FILTRO ACEITE                 |8|132.89|1063.12
38151461       |09/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |165465RB1A          |FILTRO DE AIRE                |9|265.01|2385.09
38151461       |09/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |22401ED71B          |BUJIA                         |1|521.01|521.01
38151461       |09/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |224011HC1B          |BUJIA                         |8|145.88|1167.04
38151461       |09/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |27277VX01A          |KIT FILTRO AIRE               |19|359.42|6828.98
38151461       |09/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |288905EF0A          |HOJA LIMP PARAB               |2|324.48|648.96
38151641       |09/10/24|NISSAN MEXICANA               |6         |NISSAN MEXICANA               |2                             |2263044B20          |MOD/CNTRL TEMP/               |1|928.82|928.82
